experiment,bootstrap_type,dataset,preprocessing,classifier,h_mean
baseline,No bootstrap,german,No Preprocessing,Logistic Regression,"[0.849264187361243, 0.8224462352398433, 0.8854968198111396, 0.830341781578204, 0.7843665499908761, 0.8117276472013569, 0.8502806140600542, 0.8439181731183376, 0.8336896109448482, 0.8000205897506746]"
baseline,No bootstrap,german,No Preprocessing,Random Forest,"[0.8230976228543962, 0.8180092764020802, 0.7600166730427732, 0.7980001506342779, 0.7766642435742531, 0.855000335101511, 0.8273818219764165, 0.8081643815263606, 0.8663793927726818, 0.7447601622822911]"
preprocessing,No bootstrap,german,OptimPreproc,Logistic Regression,"[0.901977141903729, 0.8089566736777741, 0.8714069591527988, 0.8100447941217837, 0.7907556148533933, 0.8183368869936034, 0.854649394431477, 0.8424424957931926, 0.81710122208851, 0.8025733572949545]"
preprocessing,No bootstrap,german,OptimPreproc,Random Forest,"[0.8483893218172842, 0.8279897902010832, 0.7968397116004005, 0.7961657521432636, 0.7929900237100032, 0.8404114142179768, 0.7529473261452169, 0.8089878081849454, 0.8538125952045676, 0.7584467139877009]"
preprocessing,No bootstrap,german,LFR,Logistic Regression,"[0.9087048832271762, 0.8232425859327266, 0.8854968198111396, 0.8824908231059277, 0.7827348084676078, 0.8183368869936034, 0.8198614318706696, 0.8387248620518319, 0.8519364529977883, 0.7387126389880649]"
preprocessing,No bootstrap,german,LFR,Random Forest,"[0.9053446747632451, 0.8296296296296297, 0.8729358167608564, 0.8761049338899347, 0.7871087042662792, 0.8183368869936034, 0.8198614318706696, 0.8252494530708073, 0.8392989385336953, 0.7387126389880649]"
preprocessing,No bootstrap,german,Reweighing,Logistic Regression,"[0.8964442166338162, 0.8562037952629844, 0.8855748681779843, 0.8612887910000924, 0.8503432217484653, 0.8782669500121579, 0.8502806140600542, 0.8671060208586603, 0.8790694575043868, 0.8564680888323966]"
preprocessing,No bootstrap,german,Reweighing,Random Forest,"[0.8609056380804877, 0.8381304858836179, 0.7649434965007739, 0.8079708275905662, 0.8729326202923271, 0.8594355064074414, 0.8431785665162232, 0.8081643815263606, 0.8768929686407902, 0.7726281182817707]"
baseline,No bootstrap,adult,No Preprocessing,Logistic Regression,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
baseline,No bootstrap,adult,No Preprocessing,Random Forest,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
preprocessing,No bootstrap,adult,OptimPreproc,Logistic Regression,"[0.45010873559305686, 0.4494785682304878, 0.453433859173817, 0.4433723511028999, 0.4698150459794081, 0.4576505028336545, 0.4582039689478815, 0.4543188734020443, 0.4607918831629325, 0.45297673550010736]"
preprocessing,No bootstrap,adult,OptimPreproc,Random Forest,"[0.5350317024333404, 0.5350451097588105, 0.508165559130796, 0.5103279683430885, 0.5559929653456734, 0.5273216372269528, 0.6214339942381815, 0.5138730461290872, 0.5197496446710749, 0.5971401403706768]"
preprocessing,No bootstrap,adult,LFR,Logistic Regression,"[0.547141173052435, 0.5229612190167138, 0.5174969118120339, 0.5406188003597168, 0.5365136759279863, 0.5412600669973188, 0.5422755194975076, 0.5267033694648101, 0.49868723958155864, 0.5971870120428017]"
preprocessing,No bootstrap,adult,LFR,Random Forest,"[0.547141173052435, 0.5229612190167138, 0.531677094500704, 0.5406188003597168, 0.5365136759279863, 0.5412600669973188, 0.5422755194975076, 0.5267033694648101, 0.49868723958155864, 0.5971870120428017]"
preprocessing,No bootstrap,adult,Reweighing,Logistic Regression,"[0.5726277297368018, 0.5820360538852971, 0.5562224664248047, 0.5742735528088079, 0.5883471465489358, 0.57406838463226, 0.576799190298933, 0.5749148989054119, 0.5812122077367596, 0.5688251057932775]"
preprocessing,No bootstrap,adult,Reweighing,Random Forest,"[0.4625295154320837, 0.5456524271576305, 0.5684085782057108, 0.5807747636312195, 0.4506131227859113, 0.5824518906714434, 0.4540412926490937, 0.5635496317728687, 0.5210593884162911, 0.48028663254260284]"
baseline,No bootstrap,compas,No Preprocessing,Logistic Regression,"[0.7039543058478847, 0.6722019931940838, 0.6982299683375244, 0.7189170704113879, 0.7113431592274, 0.6893133922419816, 0.6789675436007805, 0.6984891157274641, 0.6872491869402828, 0.6911355848783781]"
baseline,No bootstrap,compas,No Preprocessing,Random Forest,"[0.7259139632275197, 0.6549858999503254, 0.7370024690607186, 0.7348982085379309, 0.7291331842466865, 0.7076318717497225, 0.6979357100736465, 0.7523377209202149, 0.7109707799917474, 0.7294877180381534]"
preprocessing,No bootstrap,compas,OptimPreproc,Logistic Regression,"[0.7192285941755608, 0.8012847925942352, 0.7090922908027049, 0.7332468738762129, 0.7329626342259631, 0.7613268983888772, 0.7381536503339402, 0.7279559183602464, 0.7913241127739281, 0.7136315278227485]"
preprocessing,No bootstrap,compas,OptimPreproc,Random Forest,"[0.7706508572984044, 0.7880084662713035, 0.7186074563073528, 0.7239110678565628, 0.7730057787683416, 0.7859816021804255, 0.7552653023864853, 0.8070477504062419, 0.7935915885142214, 0.8071315746114996]"
preprocessing,No bootstrap,compas,LFR,Logistic Regression,"[0.7221541931043685, 0.673964973496969, 0.7088583346658754, 0.6892539646098302, 0.7334796832443194, 0.7213436478327019, 0.7350610886772183, 0.7235042795320827, 0.7190061533233533, 0.738891268010333]"
preprocessing,No bootstrap,compas,LFR,Random Forest,"[0.7113705626499798, 0.673964973496969, 0.7088583346658754, 0.6914356188257609, 0.7334796832443194, 0.7190111749229161, 0.7225116173482828, 0.7183940853424605, 0.7190061533233533, 0.738891268010333]"
preprocessing,No bootstrap,compas,Reweighing,Logistic Regression,"[0.7381136132183149, 0.805448905680871, 0.742766526337263, 0.7622945548301555, 0.7594921767495448, 0.8290948442119088, 0.7854000922719151, 0.7343088423180476, 0.7745245267771466, 0.7699806252253699]"
preprocessing,No bootstrap,compas,Reweighing,Random Forest,"[0.7472274999490232, 0.8020716955458509, 0.7393716612559694, 0.7753906686242221, 0.8117621343921433, 0.7667021044628095, 0.7507122045779061, 0.7938657358503879, 0.8149287205575884, 0.7885645509996358]"
ensemble,none,german,No Preprocessing,Logistic Regression,"[0.849264187361243, 0.8224462352398433, 0.8854968198111396, 0.830341781578204, 0.7843665499908761, 0.8117276472013569, 0.8502806140600542, 0.8439181731183376, 0.8336896109448482, 0.8000205897506746]"
